,gps_height,longitude,latitude,basin,region_code,district_code,population,permit,construction_year,extraction_type_class,management_group,payment,quality_group,quantity_group,source_class,waterpoint_type_group
19993,340,39.4834632,-10.60527212,ruvuma / southern coast,9,4,300.0,True,1982,submersible,user-group,never pay,good,dry,groundwater,communal standpipe
19255,0,34.081728600000005,-8.78953627,rufiji,12,7,1.0,True,0,gravity,user-group,pay monthly,good,insufficient,surface,communal standpipe
1823,0,34.294700799999994,-8.70125703,rufiji,12,7,1.0,True,0,gravity,user-group,never pay,good,seasonal,surface,communal standpipe
11988,123,37.85136952,-7.19711129,wami / ruvu,5,2,250.0,True,1997,other,user-group,pay monthly,salty,insufficient,groundwater,other
15909,1209,33.59199849,-2.1294778,lake victoria,20,4,300.0,False,2008,other,user-group,unknown,unknown,unknown,groundwater,other
11380,1170,32.90885861,-1.93602797,lake victoria,19,1,500.0,True,1996,other,user-group,never pay,good,insufficient,groundwater,other
3641,0,31.47467032,-1.4717483999999998,lake victoria,18,2,1.0,True,0,handpump,user-group,never pay,good,insufficient,groundwater,hand pump
9236,0,34.8031643,-2e-08,lake victoria,17,1,1.0,False,0,handpump,parastatal,never pay,salty,enough,groundwater,hand pump
26038,1043,35.07807836,-10.79965154,ruvuma / southern coast,10,3,50.0,True,1990,gravity,user-group,unknown,good,dry,groundwater,communal standpipe
26725,2117,33.93352622,-8.95737792,rufiji,11,3,1.0,False,1974,gravity,user-group,pay when scheme fails,good,enough,groundwater,communal standpipe
5401,498,38.19072381,-5.69002175,pangani,4,6,500.0,True,1990,submersible,user-group,pay per bucket,good,seasonal,surface,communal standpipe
16425,1067,37.42568466,-3.33431925,pangani,3,4,1.0,True,1974,gravity,user-group,unknown,good,insufficient,groundwater,communal standpipe
2982,0,36.57141889,-6.7431399,wami / ruvu,1,1,1.0,True,0,gravity,user-group,never pay,good,enough,groundwater,communal standpipe
26690,836,35.79724184,-10.7285939,ruvuma / southern coast,10,2,1.0,True,1983,gravity,user-group,never pay,good,dry,surface,communal standpipe
