,status_group
19993,non functional
19255,functional needs repair
1823,non functional
11988,non functional
15909,non functional
11380,functional needs repair
3641,non functional
9236,functional needs repair
26038,non functional
26725,non functional
5401,non functional
16425,non functional
18400,non functional
2982,functional needs repair
26690,non functional
21701,non functional
25248,non functional
19196,non functional
567,non functional
4567,non functional
24823,non functional
16742,non functional
20734,non functional
10343,non functional
14220,functional needs repair
5797,non functional
10302,non functional
13666,functional needs repair
17766,non functional
8400,functional needs repair
6592,functional needs repair
6206,non functional
3353,functional needs repair
19246,non functional
13790,non functional
13371,non functional
15296,functional needs repair
9037,non functional
24033,non functional
19172,non functional
6667,non functional
17470,non functional
19676,non functional
10819,non functional
20696,non functional
12870,non functional
20303,functional needs repair
20949,functional needs repair
15668,non functional
26277,non functional
5654,functional needs repair
5243,non functional
8968,non functional
13441,functional needs repair
18463,non functional
9753,non functional
7369,non functional
7176,non functional
7680,non functional
2937,non functional
12913,non functional
3216,non functional
7355,non functional
12703,non functional
17062,non functional
17180,non functional
22482,non functional
744,non functional
25542,non functional
13436,non functional
10540,non functional
25628,non functional
19423,non functional
2423,non functional
234,non functional
5002,non functional
2629,non functional
21319,non functional
10188,functional needs repair
9491,non functional
7387,non functional
15047,functional needs repair
24221,non functional
19307,non functional
2944,non functional
25476,non functional
14260,non functional
15678,non functional
2148,functional needs repair
11188,non functional
20746,non functional
346,non functional
21344,non functional
25452,non functional
2345,functional needs repair
7424,non functional
8108,non functional
3245,non functional
23616,non functional
24692,non functional
4486,non functional
988,functional needs repair
19664,non functional
10806,non functional
12462,non functional
8760,non functional
4339,non functional
10526,non functional
4737,non functional
6979,functional needs repair
24679,non functional
9299,non functional
4601,functional needs repair
24717,non functional
12531,non functional
25534,non functional
17115,non functional
1736,non functional
15714,functional needs repair
18087,non functional
9954,non functional
586,non functional
24312,non functional
12681,non functional
22128,non functional
12815,non functional
13067,non functional
14595,non functional
16743,non functional
15009,non functional
2201,non functional
1263,non functional
12360,non functional
26118,non functional
7891,non functional
6476,non functional
24182,non functional
11657,non functional
25635,non functional
17195,non functional
22756,functional needs repair
5322,non functional
9582,non functional
3017,non functional
24461,non functional
16627,non functional
20091,functional needs repair
11532,non functional
16320,non functional
4181,non functional
16403,non functional
20614,non functional
21201,non functional
16014,non functional
4752,non functional
24800,non functional
1843,functional needs repair
3030,non functional
9689,functional needs repair
22848,functional needs repair
7971,non functional
8261,non functional
3056,non functional
7603,non functional
6782,non functional
15705,non functional
10377,non functional
10250,non functional
21283,non functional
24037,non functional
17466,non functional
19756,non functional
444,non functional
22556,non functional
7329,non functional
25240,non functional
3915,non functional
25815,non functional
10044,non functional
22983,non functional
12524,non functional
21622,non functional
18891,non functional
5651,functional needs repair
11507,non functional
16231,non functional
5126,functional needs repair
10616,non functional
14206,non functional
9032,non functional
578,non functional
14641,functional needs repair
13763,non functional
23438,non functional
17564,non functional
3121,non functional
23173,functional needs repair
21562,non functional
23911,non functional
17550,non functional
26455,non functional
19543,functional needs repair
11353,non functional
8855,non functional
5893,non functional
10655,non functional
17986,non functional
22821,non functional
1889,non functional
23133,non functional
2819,non functional
10221,non functional
26276,non functional
5325,non functional
7699,non functional
14770,non functional
26189,functional needs repair
25295,non functional
19451,non functional
1294,non functional
19354,non functional
19541,non functional
9828,non functional
26966,functional needs repair
16939,non functional
9395,non functional
8484,non functional
552,non functional
27000,non functional
6612,non functional
18326,non functional
12698,non functional
4773,non functional
24131,non functional
3636,non functional
6876,non functional
24191,non functional
3727,functional needs repair
8244,non functional
12877,non functional
11475,non functional
7230,functional needs repair
21616,non functional
20706,non functional
11751,non functional
9631,non functional
4035,functional needs repair
21450,non functional
22316,non functional
11646,non functional
17946,non functional
5695,functional needs repair
2386,non functional
4965,functional needs repair
8385,functional needs repair
26144,non functional
9224,non functional
23946,non functional
1609,functional needs repair
22869,functional needs repair
10187,non functional
13172,non functional
1595,non functional
2410,functional needs repair
21631,non functional
18702,functional needs repair
24981,non functional
13378,non functional
249,non functional
14703,non functional
22829,non functional
10609,non functional
7014,non functional
21449,non functional
907,non functional
13658,non functional
3685,non functional
13781,non functional
8361,non functional
8334,functional needs repair
17804,non functional
9465,non functional
1418,functional needs repair
17735,non functional
17277,non functional
22021,non functional
6189,non functional
23225,non functional
6749,non functional
8489,non functional
3904,non functional
7098,functional needs repair
8941,functional needs repair
22773,non functional
10126,functional needs repair
182,functional needs repair
17529,non functional
17557,non functional
26228,non functional
9919,non functional
14532,non functional
22471,functional needs repair
21041,non functional
10204,functional needs repair
17858,non functional
10388,functional needs repair
7522,non functional
20367,non functional
26547,non functional
23178,non functional
25936,non functional
2540,non functional
913,non functional
19007,non functional
13894,non functional
23898,non functional
19586,non functional
20443,non functional
25599,non functional
14876,non functional
293,non functional
12109,non functional
5012,non functional
7101,non functional
11518,non functional
8646,non functional
2138,functional needs repair
4380,non functional
11027,non functional
19395,functional needs repair
4693,non functional
26907,non functional
15968,non functional
24960,non functional
25424,non functional
7560,functional needs repair
20020,non functional
21454,non functional
8288,non functional
18167,non functional
15841,non functional
5770,non functional
6401,non functional
19496,non functional
11945,functional needs repair
17006,non functional
